proxyId;institution;collection;category;validScientificNameId;validScientificName;validScientificNameAuthorship;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;identifiedBy;validated;catalogNumber;latitude;longitude;east;north;geometry;scientificNameRank;behavior;unspontaneus;unsureIdentification;hasImage;absent;notRecovered;dateLastModified;dateLastIdentified;occurrenceId;datasetName;datasetId;notes;habitat;sex;collectingMethod;recordNumber;fieldNumber;measurementMethod;georeferenceRemarks;preparations;otherCatalogNumbers;relatedResourceId;relationshipOfResource;typeStatus;eventTime;maximumElevationInMeters;minimumElevationInMeters;verbatimDepth;dynamicProperties;nodeId;institutionCode;collectionCode;popularNames;associatedReferences;hasErrors;blocked;qualityIssue
miljolare/fugl/1700052;Miljølære.no;fugl hos Miljølære.no;LC;4372;Parus major;Linnaeus, 1758;kjøttmeis;Fugler;Lena Karlson;30.01.2022 00:00:00;Bodø;;Bodø;Nordland;4;HumanObservasjon;;False;1700052;67,284223;14,457816;476636;7463167;POINT (476636 7463167);species;;False;False;False;False;False;31.01.2022 00:00:00;;miljolare/fugl/1700052;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1235473"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""4"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1700052"",""taxonID"":""447"",""vernacularName"":""Kjøttmeis""}";429;miljolare;fugl;"[{""Lang"":""se-NO"",""Name"":""buoidegaccet""},{""Lang"":""nb-NO"",""Name"":""kjøttmeis""},{""Lang"":""nn-NO"",""Name"":""kjøttmeis""}]";;False;False;False
miljolare/fugl/1700055;Miljølære.no;fugl hos Miljølære.no;LC;4550;Turdus merula;Linnaeus, 1758;svarttrost;Fugler;Lena Karlson;30.01.2022 00:00:00;Bodø;;Bodø;Nordland;1;HumanObservasjon;;False;1700055;67,284223;14,457816;476636;7463167;POINT (476636 7463167);species;;False;False;False;False;False;31.01.2022 00:00:00;;miljolare/fugl/1700055;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1235473"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1700055"",""taxonID"":""526"",""vernacularName"":""Svarttrost""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""svarttrost""},{""Lang"":""nn-NO"",""Name"":""svarttrast""},{""Lang"":""se-NO"",""Name"":""čáhppesrásttis""}]";;False;False;False
miljolare/fugl/1716840;Miljølære.no;fugl hos Miljølære.no;LC;4263;Pyrrhula pyrrhula;(Linnaeus, 1758);dompap;Fugler;Aud;30.01.2022 00:00:00;Skeid, bodø;;Bodø;Nordland;4;HumanObservasjon;;False;1716840;67,276861;14,443042;475992;7462352;POINT (475992 7462352);species;;False;False;False;False;False;31.01.2022 00:00:00;;miljolare/fugl/1716840;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1237556"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""4"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1716840"",""taxonID"":""507"",""vernacularName"":""Dompap""}";429;miljolare;fugl;"[{""Lang"":""se-NO"",""Name"":""ruksesruoivil""},{""Lang"":""nb-NO"",""Name"":""dompap""},{""Lang"":""nn-NO"",""Name"":""dompap""}]";;False;False;False
miljolare/fugl/1716842;Miljølære.no;fugl hos Miljølære.no;LC;4183;Pica pica;(Linnaeus, 1758);skjære;Fugler;Aud;30.01.2022 00:00:00;Skeid, bodø;;Bodø;Nordland;1;HumanObservasjon;;False;1716842;67,276861;14,443042;475992;7462352;POINT (475992 7462352);species;;False;False;False;False;False;31.01.2022 00:00:00;;miljolare/fugl/1716842;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1237556"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1716842"",""taxonID"":""216"",""vernacularName"":""Skjære""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""skjære""},{""Lang"":""nn-NO"",""Name"":""skjor""},{""Lang"":""se-NO"",""Name"":""skire""}]";;False;False;False
miljolare/fugl/1716843;Miljølære.no;fugl hos Miljølære.no;LC;4550;Turdus merula;Linnaeus, 1758;svarttrost;Fugler;Aud;30.01.2022 00:00:00;Skeid, bodø;;Bodø;Nordland;1;HumanObservasjon;;False;1716843;67,276861;14,443042;475992;7462352;POINT (475992 7462352);species;;False;False;False;False;False;31.01.2022 00:00:00;;miljolare/fugl/1716843;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1237556"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1716843"",""taxonID"":""526"",""vernacularName"":""Svarttrost""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""svarttrost""},{""Lang"":""nn-NO"",""Name"":""svarttrast""},{""Lang"":""se-NO"",""Name"":""čáhppesrásttis""}]";;False;False;False
miljolare/fugl/1834345;Miljølære.no;fugl hos Miljølære.no;LC;4365;Cyanistes caeruleus;(Linnaeus, 1758);blåmeis;Fugler;Lena Karlson;29.01.2023 00:00:00;Bodø;;Bodø;Nordland;2;HumanObservasjon;;False;1834345;67,284223;14,457816;476636;7463167;POINT (476636 7463167);species;;False;False;False;False;False;06.02.2023 00:00:00;;miljolare/fugl/1834345;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1258438"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1834345"",""taxonID"":""516"",""vernacularName"":""Blåmeis""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""blåmeis""},{""Lang"":""nn-NO"",""Name"":""blåmeis""},{""Lang"":""se-NO"",""Name"":""alitgaccet""}]";;False;False;False
miljolare/fugl/1834346;Miljølære.no;fugl hos Miljølære.no;LC;4576;Dendrocopos major;(Linnaeus, 1758);flaggspett;Fugler;Lena Karlson;29.01.2023 00:00:00;Bodø;;Bodø;Nordland;1;HumanObservasjon;;False;1834346;67,284223;14,457816;476636;7463167;POINT (476636 7463167);species;;False;False;False;False;False;05.07.2024 00:00:00;;miljolare/fugl/1834346;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1258438"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1834346"",""taxonID"":""539"",""vernacularName"":""Flaggspett""}";429;miljolare;fugl;"[{""Lang"":""se-NO"",""Name"":""bihcebásčáihni""},{""Lang"":""nb-NO"",""Name"":""flaggspett""},{""Lang"":""nn-NO"",""Name"":""flaggspett""}]";;False;False;False
miljolare/fugl/1834347;Miljølære.no;fugl hos Miljølære.no;VU;185920;Chloris chloris;(Linnaeus, 1758);grønnfink;Fugler;Lena Karlson;29.01.2023 00:00:00;Bodø;;Bodø;Nordland;10;HumanObservasjon;;False;1834347;67,284223;14,457816;476636;7463167;POINT (476636 7463167);species;;False;False;False;False;False;06.02.2023 00:00:00;;miljolare/fugl/1834347;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1258438"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""10"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1834347"",""taxonID"":""508"",""vernacularName"":""Grønnfink""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""grønnfink""},{""Lang"":""nn-NO"",""Name"":""grønfink""},{""Lang"":""se-NO"",""Name"":""ruonábeibboš""}]";;False;False;False
miljolare/fugl/1834353;Miljølære.no;fugl hos Miljølære.no;LC;4154;Certhia familiaris;Linnaeus, 1758;trekryper;Fugler;Lena Karlson;29.01.2023 00:00:00;Bodø;;Bodø;Nordland;1;HumanObservasjon;;False;1834353;67,284223;14,457816;476636;7463167;POINT (476636 7463167);species;;False;False;False;False;False;06.02.2023 00:00:00;;miljolare/fugl/1834353;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1258438"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1834353"",""taxonID"":""4347"",""vernacularName"":""Trekryper""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""trekryper""},{""Lang"":""nn-NO"",""Name"":""trekrypar""},{""Lang"":""se-NO"",""Name"":""muorragakcu""}]";;False;False;False
urn:uuid:82c72e81-d9b8-4708-975d-1ccb1737da79;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4332;Motacilla alba;Linnaeus, 1758;linerle;Fugler;Anne-Marie Austad;30.08.2024 00:00:00;Rønvikjordene, Rønvikjordene, Bodø, No;1325;Bodø;Nordland;2;HumanObservasjon;;False;35547976;67,282897;14,438738;475813;7463027;POLYGON ((476237 7463690, 476642 7463230, 476423 7462972, 476116 7462775, 475939 7462584, 475742 7462540, 475152 7462797, 474787 7463029, 474830 7463086, 475120 7463131, 475385 7463182, 475649 7463332, 475686 7463135, 476111 7463357, 476237 7463690));species;feeding;False;False;False;False;False;30.08.2024 14:13:38;;urn:uuid:82c72e81-d9b8-4708-975d-1ccb1737da79;;00000000-0000-0000-0000-000000000000;Activity: Forage.;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""EventDate"":""2024-08-30/2024-08-30"",""Day"":""30"",""Month"":""8"",""Year"":""2024"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""linerle""},{""Lang"":""nn-NO"",""Name"":""linerle""},{""Lang"":""se-NO"",""Name"":""beštor""}]";https://www.artsobservasjoner.no/Sighting/35547976;False;False;False
